text,code,code_level_2
lavorazione ceramiche,23.31.0,23
affitto immobili commerciali,68.20.0,68
RETTIFICA INDUSTRIALE CONTO TERZI,25.53.0,25
Tintoria,13.30.0,13
Produzione energia fonti rinnovabili,35.12.0,35
RESTAURO BENI ARCHITETTONICI ARTISTICI STORICI,91.30.0,91
produzione spine giunzione per mobili aste legno,16.23.0,16
confezione accessori per abbigliamento,14.29.0,14
PROGETTAZIONE FABBRICAZIONE COMMERCIO MACCHINE IMPIANTI INDUSTRIALI MESCOLATORI REATTORI ESSICATORI IMPASTATRICI MULINI RELATIVI ACCESSORI,28.93.0,28
finissaggio prodotti tessile,13.30.0,13
RIVENDITORE AUTO RENAULT DACIA,47.81.1,47
commercio all ingrosso accessori per abbigliamento,46.42.1,46
Vendita esplosivo per uso civile,46.85.0,46
affitto beni immobili merce,68.20.0,68
COMMERCIO PANNELLI,46.83.1,46
COMMERCIO DEL LEGNO AFFINI ALL INGROSSO DETTAGLIO,46.83.1,46
RIPARAZIONI MECCANICHE AUTOVEICOLI,95.31.1,95
CONSERVAZIONE RESTAURO OPERE ARTE,91.30.0,91
intermediaione rifiuti industriali,46.18.9,46
Prestazioni servizi logistici contabili amministrativi professionisti,69.20.0,69
MEDICINA DEL LAVORO,86.22.0,86
vendita viaggi biglietti trasporto,79.11.0,79
commercio dettaglio motocicli ricambi accessori,47.83.2,47
logistica,52.25.0,52
attivita delle agenzie viaggio,79.11.0,79
COMMERCIO PAVIMENTI LEGNO,46.83.1,46
revisioni autoveicoli,95.31.1,95
Fabbricazione articoli materie tessili nca,13,13
PRODUZIONE MATERIALI IMBALLAGGIO MATERIE PLASTICHE,22.22.0,22
manutenzione autoveicoli,95.31.1,95
produzione rigenerazione tamponi stampi per ceramica,28.99.9,28
NOLEGGIO MACCHINE PER UFFICIO,77.33.0,77
produzione tacchi applicazione sottotacchi per conto terzi,15.20.1,15
commercio ingrosso parti ricambio motori marini,46.64.1,46
MANUTENZIONE RIPARAZIONE REALIZZAZIONE IMPIANTI,28.29.9,28
parquets rifiniture interni,47.52.3,47
VENDITA CARBURANTE,47.30.0,47
Finitura componenti plastici altri materiali,16.27.0,16
affitto ramo azienda,68.20.0,68
installazione impianti antincendio,43.22.0,43
RIMESSAGGIO IMBARCAZIONI,52.22.0,52
RIPARAZIONE SOSTITUZIONE PENEUMATICI,95.31.3,95
commercio tessuti tecnici per colli polsi per camicie,46.41.1,46
pulizia automezzi,95.31.9,95
FABBRICAZIONE SCHEDE ELETTRONICHE PER IMPIANTI GPL METANO,26.11.0,26
PROVVIGIONI AGENTE RAPPRESENTANTE,46.1,46
commercio antiparassitari anticrittogamici insetticidi prodotti per agricoltura genere,46.85.0,46
commercio all ingrosso forni gas legna per uso domestico,46.83.2,46
Consulenza immobiliare,68.32.0,68
PRODUZIONE FONDI PER CALZATURE LEGNO SUGHERO PLASTICA,15.20.1,15
Servizi per animali domestici toelettatura pensione,96.99.1,96
Rilegature,18.14.0,18
LAVORAZIONE FINITURA ARTICOLI MATERIALI NON FERROSI,22.25.0,22
AGENZIE VIAGGIO,79.11.0,79
COMMERCIO DETTAGLIO ALTRI ARTICOLI PER INFANZIA,47.55.9,47
Restauro beni immobili sottoposti tutela,43.99.0,43
CARROZZERIA,95.31.2,95
HOLDING SOCIETA PRODUZIONE ENERGIA ELETTRICA FONTI RINNOVABILI,35.12.0,35
CARROZZERIA,95.31.2,95
altri servizi sostegno alle imprese,82.99.9,82
riparazione manutenzione armi per uso sportivo per caccia,33.11.0,33
CONFEZIONAMENTO NAMUALE,18.12.0,18
meccanica,46.72.0,46
Vendita merci dettaglio,47.83.1,47
VENDITA CICLI RICAMBI ACCESSORI CICLI MOTOCICLI,47.83.1,47
prestazioni per cambio pneumatici,95.31.3,95
restauro superfici decorate beni immobili del patrimonio culturale beni culturali mobili interesse storico artistico archeologico etnoantropologico,91.30.0,91
confezione varie accessori per abbigliamento,31.00.3,31
attivit supporto assistenza tecnica cienti italiani societ del gruppo,82.99.9,82
REVISIONI MINISTERIALI AUTOVEICOLI,71.20.2,71
fabbricazione vendita altre apparecchiature elettriche gruppi continuit,27.90.0,27
,95.31,95
LAVORAZIONE TERZI TORNITURA FRESATURA METALLI,25.53.0,25
riparazione pallet legno,33.19.0,33
FABBRICAZIONE ETICHETTE PLASTICA,22.26.9,22
servizio trasporto merci,49.41.0,49
commercio all ingrosso vernici attrezzature per uso delle stesse,46.83.2,46
PRODUZIONE RIPARAZIONE MANUTENZIONE IMPIANTI FRIGORIFERI INDUSTRIALI,28.25.0,28
REVISIONE AUTOVEICOLI,95.31.1,95
Stampaggio materie plastiche termoformatura,22.25.0,22
commercio dettaglio,47,47
Costruzione infissi legno,16.25.0,16
STAMPA FOTOGRAFICA,74.20.2,74
PROGETTAZIONE COSTRUZIONE VENDITA APPARECCHIATURE CON APPLICAZIONI MECCANICHE ELETTRICHE ELETTRONICHE,26.11.0,26
Produzione etichette per generi alimentari non,17.25.0,17
vendita all asta opere arte,47.92.2,47
FABBRICAZIONE MACCHINE DEI RELATIVI ACCESSORI PER MOVIMENTO TRATTAMENTO DELL ARIA PARTICOLARE ASPIRATORI INDUSTRIALI DOMESTICI VENTILATORI,27.51.0,27
riparazione carrozzeria autoveicoli,95.31.2,95
ALLESTIMENTO STAND FIERISTICI MONTAGGIO SMONTAGGIO,43.32.0,43
Fabbricazione componenti plastica per idraulica,22.24.0,22
altre attivit consulenza imprenditoriale altra consulenza amministrativo gestionale pianificazione aziendale,70.20.0,70
Controllo qualita certificazione prodotti processi sistemi,71.20.2,71
agenzia viaggi,79.11.0,79
Attivit Sorveglianza Sanitaria Sicurezza nei luoghi lavoro,86.99.0,86
SERVUIZI BIBLIOTECA ARCHIVI DIGITALIZZAZIONE,91.11.0,91
MEDIAZIONE MARITTIMA brokeraggio,52.31.0,52
Vendita all asta dei beni delle esecuzioni forzate gestione delle custodie immobiliari affidate dai Tribunali,69.10.3,69
Stampa serigrafica,18.12.0,18
Stampaggio materie plastiche,22.25.0,22
vendita all ingrosso materiale edile,46.83.2,46
SOMMINISTRAZIONE ALIMENTI BEVANDE,56.30.0,56
RIPARAZIONE CARROZZERIA VEICOLI,95.31.2,95
Recupero rifiuti non pericolosi rivendita per utilizzo nel settore delle costruzioni ambito urbano estraurbano quali condutture per trasporto materie prime acqua gas energia elettrica fognature ecc,38.23.0,38
Macchine professionali preparazione alimenti,28.93.0,28
Lavorazione finitura articoli legno,16.12.0,16
IDRAULICA CARPENTERIA METALLICA MONTAGGI TUBAZIONI INDUSTRIALI INSTALLAZIONE IMPIANTI IDRICI ANTINCENDIO,33.12.5,33
medico medicina generale,86.21.0,86
professione geometra,71.12.3,71
CENTRO REVISIONE,71.20.2,71
Produzione infissi PVC,22.23.0,22
confezione abbigliamento,14.21.1,14
Vendita biciclette biciclette elettriche,46.49.1,46
servizi riparazione affilatura coltelleria,95.29.9,95
commercio beni vendite giudiziarie,69.10.3,69
affitto ramo azienda,68.20.0,68
vendita bilance affettatrici affini,46.64.5,46
RAMMENDATRICE,13.30.0,13
RESTAURO STATUE,91.30.0,91
produzione semilavorati con pannelli derivati dal legno,16.11.0,16
AGENZIA VIAGGIO,79.11.0,79
Tamponi per SARS CoV,86.91.0,86
commercio all ingrosso macchinari magazzino,46.64.9,46
CONSULENZA AMMINISTRATIVA SOCIETA,70.20.0,70
commercio dettaglio motoveicoli cicli ricambi abbigliamento,47.83.1,47
riparazione manutenzione estintori,33.12.5,33
Elaborazione cedolini paga per aziende privati,69.20.0,69
manutenzione riparazione rimessaggio imbarcazioni diporto,33.15.0,33
locazione immobiliare,68.20.0,68
riparazione manutenzione registratori cassa,33.12.5,33
PRODUZIONE GUANTI,14.29.0,14
Fabbricazione convertitori statici,27.90.0,27
AFFITTO CAPPANNONE,68.20.0,68
fabbricazione parti accessori mobili,31.00.3,31
Riparazione carrozzeria per autoveicoli,95.31.2,95
Manutenzioni elettriche elettroniche,95.22.0,95
vendita installazione macchine per ufficio,46.50.3,46
vendita applicazione protesi acustiche,47.74.0,47
Lavanderia,96.10.2,96
Confezioni costumi bagno,14.22.0,14
Servizi Estetici,96.22.0,96
STAMPA GRAFICA SCATOLE PER SCARPE VINO,18.12.0,18
Confezione abbigliamento esterno NON serie,14.21.2,14
organizzazione eventi aziendali,82.30.0,82
attivit servizi amministrativi,68.32.0,68
intermediazione immobiliare,68.31.0,68
commercio prodotti erboristeria,47.73.2,47
progettazione fabbricazione macchine utensili incluse parti accessorie,28.42.0,28
commercio dettaglio articoli regalo,47.78.2,47
Servizi fotocopiatura riproduzione stampa supporti cartacei informatici altre attivit supporto specializzate per funzioni ufficio eventi quali roll forex banner,18.12.0,18
vendita abrasivi prodotti chimici per finitura dei metalli delle plastiche,46.85.0,46
Fabbricazione apparecchiature elettroniche uso industriale,27.90.0,27
Fiere manifestazioni nel ambito del settore turistico,82.30.0,82
manutenzione barche legno,33.15.0,33
QUADRI ELETTRICI COMPLETI PLC,27.12.0,27
costruzione manutenzione strade,42.11.0,42
COMMERCIO DETTAGLIO ACQUA PER REFRIGERATORI ACQUA,47.25.0,47
tessuti,47.51.1,47
riparazione manutenzione autoveicoli uso civile,95.31.1,95
SERVIZIO AUTOGRU CON MANOVRATORE,43.99.0,43
AGENTE AZIENDA PRODUTTRICE IMBALLAGGI CARTONE PER INDUSTRIE AGROALIMENTARI PRODUTTORI COMMERCIANTI FRUTTA,46.18.9,46
modellista per calzature,74.11.2,74
attivit revisione periodica norma legge dell idoneit alla circolazione degli autoveicoli motoveicoli,71.20.2,71
noleggio senza equipaggio imbarcazioni diporto,77.21.0,77
assistenza pista gare motociclistiche,95.32.0,95
Fabbricazione apparecchi elettroniciper antenne,26.30.0,26
servizi consulenza tecnica,74.99.9,74
COLLAUDI ANALISI TECNICHE,71.20.1,71
servizi logistica organizzazione trasporti,52.25.0,52
Asfaltature strade,42.11.0,42
riparazioni manutenzioni funi metalicche impianti funivie,33.11.0,33
COMMERCIO DETTAGLIO RICAMBI,47.82.0,47
elaborazione elettronica dati contabili,63.10.2,63
servizi consulenza nell ambito dello smaltimento dei rifiuti,74.99.3,74
LAVORAZIONI VIMINI,16.28.3,16
vendita pezzi ricambio per motocicli,47.83.2,47
agriturismo,55.20.5,55
PRODUZIONE ENERGIA ELETTRICA,35.12.0,35
COMMERCIO LEGNAME LEGNA ARDERE,46.83.1,46
assemblaggio macchinari conto terzi,28.29.9,28
RIPARAZIONE CARROZZERIA AUTOVEICOLI,95.31.2,95
Locazione immobili,68.20.0,68
Attivit conservazione restauro opere arte,91.30.0,91
installazione serramenti,43.32.0,43
intermediazione immobiliare,68.31.0,68
Tintoria tessuti,13.30.0,13
REALIZZAZIONE INSTALLAZIONE QUADRI IMPIANTI ELETTRICI,27.12.0,27
vendita tavole,46.83.1,46
istruzione universitaria,85.40.1,85
RIPARAZIONE VELE PRODUZIONE TENDE SOLARI,33.15.0,33
Consulenza,74.99.3,74
commercio dettaglio casalinghi cristalleria vasellame detersivi prodotti per igiene della casa cura della persona,47.12.4,47
GESTIONE PISCINA,93.11.1,93
CONSULENZA CONTABILE AMMINISTRATIVA,68.32.0,68
PESCA SPORTIVA,93.19.9,93
manutenzioni meccaniche industriali,33.12.9,33
COMMERCIO PARTI AUTOVEICOLI MOTOVEICOLI,46.18.4,46
ALTRI SERVIZI SUPPORTO ALLE IMPRESE NCA,82.99.9,82
CONSULENZA,74.99.3,74
TINTEGGIATURE,43.34.0,43
VENDITA CARTUCCE TONER,47.40.1,47
COMMERCIO ALL INGROSSO,46.83.2,46
etichette sintetico per cosmetica,13.96.0,13
LAVORAZIONE MATERIE PLASTICHE,22.25.0,22
consulenza per sviluppo del sistena qualit organizzazione aziendale,70.20.0,70
VENDITA AUTOVEICOLI,47.81.1,47
Recupero rifiuto umido urbano per produzione compost qualit,38.21.4,38
COMMERCIO DETTAGLIO MATERIALE PER OTTICO,47.74.0,47
AFFITTI,68.20.0,68
PAVIMENTI LEGNO INTARSIATI CON METALLI MARMI PIETRE,16.11.0,16
RAPPRESENTANZA FIERE ESTERE,82.30.0,82
LOCAZIONI IMMOBILI COMMERCIALI,68.20.0,68
servizi gestione immobiliare,68.32.0,68
Gommista,95.31.3,95
elaborazione dati,63.10.2,63
commercio dettaglio mobili usati oggetti antiquariato,47.79.2,47
consulenza servizi materia sicurezza salute sul lavoro,74.99.2,74
Manutenzione costruzione riparazione impianti depurazione acque reflue,37.00.0,37
affitto appartamenti,68.20.0,68
Restauro conservazione,91.30.0,91
STAMPE,18.12.0,18
Carrozzeria,95.31.2,95
PROMOZIONI EVENTI SPORTIVI PARTECIPAZIONI GARE,93.19.1,93
mediatore marittimo,77.52.0,77
pulizia allevamenti pollame con mezzi meccanici,43.12.0,43
CESSIONE IMMOBILE,68.20.0,68
TENDE SOLE ESTERNO COPERTURE GENERE,13.96.0,13
Lavorazione pannelli solfato calcio,23.52.2,23
Consulenza Sistemi Gestione,70.20.0,70
intermediazione spazi volumi relativi allo smaltimenti recupero rifiuti,74.99.3,74
Agriturismo,55.20.5,55
MANTENZIONE RIPARAZIONE MEZZI PESANTI CAMION,95.31.1,95
Vendita Bombole gpl,47.78.3,47
Gestione altri impianti sportivi nca,93.11.9,93
ATTIVITA REVISIONE PER AUTOVEICOLI,71.20.2,71
REVISIONI AUTO MOTO CICLI,71.20.2,71
revisioni veicoli,71.20.2,71
MONTAGGIO COPERTURE,43.41.0,43
REVISIONE AUTO MOTOVEICOLI,71.20.2,71
ORGANIZZAZIONE CONGRESSI EVENTI,82.30.0,82
fabbricazione mobili per arredo domestico,31.00.3,31
pompaggio calcestruzzo,49.41.0,49
Vendita proprieta,68.11.0,68
GOMMISTA,95.31.3,95
montaggio vendita tende sole gazebo,43.24.0,43
FITTO AZIENDA,68.20.0,68
volantinaggio,82.99.9,82
Progettazione realizzazione stand fieristici non,73.11.0,73
attiv chirugica convenzione con Sistema Sanitario Nazionale libera professione,86.22.0,86
intermediazione immobiliare,68.31.0,68
CONFEZIONE PANTALONI,14.21.1,14
RIPRISTINO MANUFATTI LEGNO,33.19.0,33
Fabbricazione sacchetti plastica per rifiuti,22.22.0,22
Taglio legname per conto terzi,16.11.0,16
commercio imballaggi plastica,46.86.3,46
Vendita strumenti per diagnostica veicoli,46.64.9,46
intermediazione immobiliare,68.31.0,68
Locazione immobiliare beni propri,68.20.0,68
servizi manutenzione del verde,81.30.0,81
oggetti decorativi vecchi libri,90.12.0,90
Fabbricazione tessuti semilavorati per industria automobilistica,13.96.0,13
VENDITA MONTAGGIO RIPARAZIONE PNEUMATICI,95.31.3,95
commercio dettaglio carburante per autotrazione,47.30.0,47
fabbricazione strumentazione per misura grandezze elettriche,27.12.0,27
riparazione mobili attivit falegnameria,95.24.0,95
FABBRICAZIONE PRODOTTI TESSILI PER PULIZIA,13.92.2,13
noleggio biancheria,96.10.1,96
AUTOFFICINA PER RIPARAZIONI AUTOVEICOLI MECCATRONICA GOMMISTA,95.31.1,95
PRODUZIONE INFISSI,16.25.0,16
Codice altre attivit riprese fotografiche,74.20.1,74
RIPARAZIONE SOSTITUZIONE PNEUMATICI,95.31.3,95
PRODUZIONE ENERGIA ELETTRICA,35.11.0,35
FABBRICAZIONE PARAMENTI SACRI PER USO ECCLESIASTICO,14.23.0,14
GESTIONE TITOLI PORTAFOGLIO,66.19.9,66
assemblaggio cornici,16.28.1,16
noleggio senza conducente,77.11.0,77
Locazione immobili propriet,68.20.0,68
vendita pneumatici cerchi,95.31.3,95
Animazione turistica,93.29.9,93
COMMERCIO SIGARETTE ELETTRONICHE USA GETTA,47.26.0,47
vendita integratori alimentari,47.27.3,47
Confezioni abbigliamento sportivo altri indumenti particolari,14.10.2,14
SERVICE STAMPA DALLA FOTO ALLA STAMPA DIGITALE,18.12.0,18
intrattenimento nelle strutture ricettive,93.29.9,93
noleggio veicoli,77.11.0,77
PUBBLICITA SPONSORIZZAZIONE,73.11.0,73
LABORATORI FOTOGRAFICI PER SVILUPPO STAMPA,18.12.0,18
produzione nutraceutici,10.89.0,10
Erogazione corsi formazione per salute sicurezza sul lavoro,85.59.2,85
vendite noleggio carrelli elevatori altri macchinari,77.39.9,77
locazione immobiliare beni propriet,68.20.0,68
Vendita libri,47.61.0,47
CORSI FORMAZIONE ADDESTRAMENTO SICUREZZA LAVORI QUOTA,85.59.2,85
